3.68  3.91  4.37  4.43  3.63  3.72  3.91  4.27  3.58
3.68  3.4   4.43  3.23  3.49  3.63  3.63  3.77  3.77
4.01  3.68  3.87  3.15  4.48  3.32  3.77  4.48  4.27
3.36  2.76  3.58  3.68  3.32  3.15  3.82  3.77  3.23
4.01  3.77  3.72  3.58  3.54  3.49  3.63  4.27  4.48
3.87  2.95  4.22  4.22  4.22  3.68  4.37  4.16  2.79
3.63  4.27  2.91  3.63  3.91  3.58  3.36  3.63  4.43
3.19  3.77  3.72  4.27  3.72  3.54  4.27  3.58  3.58
3.36  3.68  3.82  3.87  3.54  4.27  3.49  4.22  3.36
4.22  4.11  3.63  3.45  3.58  4.37  3.96  4.16  4.01
4.48  4.22  3.68  3.07  3.68  3.63  3.72  4.32  3.87
4.11  3.87  3.91  3.77  4.37  3.87  4.01  3.77  4.54
3.23  4.43  3.72  3.32  3.96  3.49  4.22  3.82  4.22
4.54  3.03  3.87  3.87  3.49  3.36  3.77  3.23  3.96
3.4   3.82  3.63  4.54  3.68  3.77  4.16  3.72  3.54
3.82  4.43  3.54  3.32  4.48  4.01  3.77  3.58  3.77
3.32  3.45  3.63  3.68  2.83  4.11  4.01  4.32  4.48
3.49  3.58  3.77  3.87  3.45  3.32  3.68  3.91  3.54
3.36  3.72  3.36  3.58  4.48  3.07  3.36  3.77  3.58
3.45  3.32  3.87  3.49  3.87  4.11  4.27  3.68  2.95
3.32  4.11  3.91  3.36  3.68  3.58  3.32  3.91  3.91
3.58  3.23  3.63  3.4   3.72  3.58  3.96  3.77  4.06
3.58  4.06  3.87  3.68  3.63  3.82  4.32  3.72  3.87
4.37  3.4   4.06  4.01  3.91  3.58  3.68  4.11  4.27
3.72  3.4   4.16  3.68  3.4   4.43  3.49  4.11  3.87
2.95  3.96  3.49  4.22  3.58  4.37  3.45  3.11  3.96
3.49  4.22  3.87  3.82  3.77  4.43  3.45  3.72  3.58
4.16  3.82  4.22  3.77  4.37  4.11  3.72  4.43  3.87
3.77  3.4   3.82  4.01  3.45  4.27  2.83  3.91  4.37
3.91  4.37  4.59  4.01  4.06  4.01  3.72  3.77  3.54
3.82  3.27  3.77  3.72  3.03  3.4   3.49  3.03  3.36
2.95  3.54  3.82  4.16  3.49  3.45  3.58  4.27  3.36
3.72  4.11  3.49  4.22  3.27  4.22  4.06  4.06  4.37
4.22  3.45  3.91  4.01  3.68  2.91  3.49  3.63  3.49
4.06  3.4   3.96  3.36  3.54  3.27  3.77  3.49  4.22
4.27  3.82  3.36  4.06  2.79  3.72  4.11  3.77  4.01
3.54  3.4   4.37  4.01  3.96  4.32  3.19  4.16  2.91
4.11  3.11  4.43  3.23  4.43  3.72  3.32  4.32  3.72
3.4   4.11  3.45  2.76  3.72  3.63  4.27  3.36  3.49
3.68  3.03  3.11  3.96  3.27  3.63  3.32  3.58  3.58
3.91  3.58  4.01  4.06  3.49  4.32  3.45  3.4   4.76
4.32  4.76  4.65  4.54  5.06  4.65  4.7   4.59  4.94
5.24  5.18  4.65  5.49  4.94  5.36  5.43  5.36  4.94
4.76  4.88  4.43  4.94  4.59  5.06  5.36  4.76  5.  
4.76  5.06  4.54  5.    4.7   4.54  4.76  4.82  4.88
4.82  4.65  5.3   5.06  5.43  4.76  4.65  4.54  4.76
4.48  4.94  4.82  5.36  4.06  5.43  5.24  5.12  5.24
4.65  5.43  4.65  4.65  4.76  4.54  4.76  4.94  5.3 
4.94  5.43  4.65  5.06  5.36  4.59  5.56  5.49  5.36
4.88  4.54  4.65  5.36  4.7   4.48  4.43  4.94  4.48
5.06  4.7   4.82  5.49  4.54  5.3   5.06  5.3   5.12
4.43  5.18  5.06  4.65  4.65  4.94  4.7   4.94  5.06
5.3   5.69  5.24  4.22  4.48  4.65  5.18  4.82  4.76
4.59  5.    5.36  5.49  5.12  5.18  5.18  4.54  4.27
4.65  5.    5.49  4.59  4.54  5.24  4.65  5.18  4.82
4.65  5.49  4.59  5.24  5.18  5.    5.18  5.49  5.3 
4.37  5.82  6.1   6.1   5.62  5.62  6.1   5.49  5.49
5.96  5.82  5.62  6.32  5.89  6.1   5.89  5.76  5.56
5.82  5.49  5.76  5.62  6.39  5.96  5.76  5.82  5.69
6.17  6.24  5.62  6.1   6.1   5.96  6.39  6.1   5.89
5.82  5.82  5.82  6.1   5.62  6.03  5.56  6.17  6.17
6.1   6.03  6.24  5.76  6.17  6.24  6.17  6.17  5.89
6.03  6.32  5.62  5.69  6.03  6.03  6.17  6.17  6.1 
6.1   5.96  6.24  6.32  5.82  6.1   6.46  5.76  5.96
6.24  6.03  6.54  5.69  5.69  6.03  6.03  6.32  5.62
5.76  6.03  6.1   6.1   6.1   5.24  6.46  6.46  6.32
6.77  6.32  6.69  6.39  6.69  7.33  6.32  7.08  6.77
6.84  7.    6.24  6.24  6.61  6.69  7.    6.39  6.46
6.46  6.61  6.39  6.69  6.1   6.32  6.54  6.77  7.49
6.84  6.92  6.46  7.75  6.46  6.54  6.24  7.08  6.84
6.1   6.54  7.    6.24  6.92  7.    6.46  6.84  6.39
6.32  6.84  7.16  6.17  7.49  6.54  6.39  7.75  7.93
7.08  7.49  7.75  7.93  7.49  7.33  7.49  7.16  7.49
7.49  7.58  7.84  7.49  8.29  8.11  8.02  8.2   8.29
7.66  7.75  7.33  7.58  7.93  9.78  9.68  0.0   0.0
